iso3c,country_name,year,wheat_production_tonnes,barley_production_tonnes,corn_production_tonnes,soybean_production_tonnes,wheat_export_tonnes,exchange_rate_local_per_usd,gdp_per_capita_usd_const2015,cpi_2015_100
ARG,Argentina,2000,,,,,,0.9995,10631.6503639029,
ARG,Argentina,2001,,,,,,0.9995,10051.9448463043,
ARG,Argentina,2002,,,,,,3.06325666666667,8861.56199282278,
ARG,Argentina,2003,,,,,,2.90062916666667,9545.53194119994,
ARG,Argentina,2004,,,,,,2.92330081890332,10302.4465316428,
ARG,Argentina,2005,,,,,,2.9036575,11099.7509190602,
ARG,Argentina,2006,,,,,,3.05431333333333,11870.2791559298,
ARG,Argentina,2007,,,,,,3.09564884920635,12811.9021206578,
ARG,Argentina,2008,,,,,,3.14416455988456,13197.3570267029,
ARG,Argentina,2009,,,,,,3.71010683052328,12285.3784651865,
ARG,Argentina,2010,,,,,,3.8962951544705,13387.1553748458,
ARG,Argentina,2011,,,,,,4.11013957621326,14040.6189124444,
ARG,Argentina,2012,,,,,,4.53693436018746,13754.4254235596,
ARG,Argentina,2013,,,,,,5.45935266465704,13946.0950832252,
ARG,Argentina,2014,,,,,,8.07527599281334,13456.1319159151,
ARG,Argentina,2015,,,,,,9.23318552472429,13679.6264980954,
ARG,Argentina,2016,,,,,,14.7581750873396,13265.8860639123,
ARG,Argentina,2017,,,,,,16.5627069251411,13520.1129846159,
ARG,Argentina,2018,,,,,,28.0949916666667,13058.3285449954,
ARG,Argentina,2019,,,,,,48.1478916666667,12706.3978108968,
ARG,Argentina,2020,,,,,,70.5391666666667,11393.0505957877,
ARG,Argentina,2021,,,,,,94.9907416666667,12549.2811699342,
ARG,Argentina,2022,,,,,,130.61655,13182.7933950725,
ARG,Argentina,2023,,,,,,296.258041666667,12933.2497342121,
ARG,Argentina,2024,,,,,,914.694883333333,12667.0313654373,
AUS,Australia,2000,,,,,,1.72482666666667,45859.5162097045,74.375650364204
AUS,Australia,2001,,,,,,1.9334425,46191.3142366289,77.6534859521332
AUS,Australia,2002,,,,,,1.8405625,47486.2783216389,79.9687825182102
AUS,Australia,2003,,,,,,1.54191416666667,48394.1269478095,82.1540062434964
AUS,Australia,2004,,,,,,1.3597525,49902.0187022536,84.0790842872008
AUS,Australia,2005,,,,,,1.30947333333333,50853.1976727529,86.3423517169615
AUS,Australia,2006,,,,,,1.3279734405,51553.9685966991,89.4120707596254
AUS,Australia,2007,,,,,,1.1950725,52531.7611201084,91.4932362122789
AUS,Australia,2008,,,,,,1.19217833333333,53336.1012157008,95.4734651404787
AUS,Australia,2009,,,,,,1.28218881008452,53237.0077642312,97.1644120707596
AUS,Australia,2010,,,,,,1.09015948638677,53578.8125049759,100.0
AUS,Australia,2011,,,,,,0.969463201496735,54111.357240336,103.303850156087
AUS,Australia,2012,,,,,,0.965801030658708,55257.5739287362,105.124869927159
AUS,Australia,2013,,,,,,1.03584309652054,55728.0174035719,107.700312174818
AUS,Australia,2014,,,,,,1.10936329281692,56327.8533063277,110.379812695109
AUS,Australia,2015,,,,,,1.33109026245502,56739.0265346593,112.044745057232
AUS,Australia,2016,,,,,,1.34521397601947,57401.0662268939,113.475546305931
AUS,Australia,2017,,,,,,1.30475807671592,57750.6482221688,115.686784599376
AUS,Australia,2018,,,,,,1.33841214646451,58530.7821697117,117.89802289282
AUS,Australia,2019,,,,,,1.43850654421382,58924.733646242,119.797086368366
AUS,Australia,2020,,,,,,1.45308511847016,58132.798523626,120.811654526535
AUS,Australia,2021,,,,,,1.33122425957081,59276.503107197,124.271592091571
AUS,Australia,2022,,,,,,1.44166445896522,61009.8077147403,132.466181061394
AUS,Australia,2023,,,,,,1.50519106560509,61598.1776089916,139.880332986472
AUS,Australia,2024,,,,,,1.51535803855596,61211.8967637303,144.302809573361
CAN,Canada,2000,,,,,,1.485394095,37906.8601321366,81.8903835145964
CAN,Canada,2001,,,,,,1.548839955,38200.456120621,83.9582140812822
CAN,Canada,2002,,,,,,1.57034283416667,38921.6673033743,85.8543216943331
CAN,Canada,2003,,,,,,1.4010145475,39270.0234577749,88.2226674298798
CAN,Canada,2004,,,,,,1.301281595,40108.7587456658,89.8611906124785
CAN,Canada,2005,,,,,,1.21140513416667,41006.2229523971,91.850314825415
CAN,Canada,2006,,,,,,1.13434472583333,41663.5123057295,93.689181453921
CAN,Canada,2007,,,,,,1.07404562166667,42106.8724378248,95.6926159129937
CAN,Canada,2008,,,,,,1.06708691833333,42067.5687072607,97.9607899255867
CAN,Canada,2009,,,,,,1.1415354059127,40376.4153847836,98.2541499713795
CAN,Canada,2010,,,,,,1.03011273517598,41164.3399119626,100.0
CAN,Canada,2011,,,,,,0.989258158636364,42043.6419795513,102.912135088724
CAN,Canada,2012,,,,,,0.999364743593074,42320.6431330726,104.471951917573
CAN,Canada,2013,,,,,,1.03013736373016,42851.170527104,105.452203777905
CAN,Canada,2014,,,,,,1.10474713237886,43643.2356440047,107.462793360046
CAN,Canada,2015,,,,,,1.27878620362554,43594.1941045394,108.672009158557
CAN,Canada,2016,,,,,,1.3256151637482,43551.3425975115,110.224670864339
CAN,Canada,2017,,,,,,1.29793584646039,44339.3886689254,111.984831139096
CAN,Canada,2018,,,,,,1.29581792813534,44907.3436912123,114.524899828277
CAN,Canada,2019,,,,,,1.32679336266012,45100.2915069262,116.757298225529
CAN,Canada,2020,,,,,,1.34115267222386,42366.1285377884,117.594447624499
CAN,Canada,2021,,,,,,1.2538769021268,44639.193269037,121.587006296508
CAN,Canada,2022,,,,,,1.30155477474355,45677.686578804,129.858328563251
CAN,Canada,2023,,,,,,1.3499086407939,45048.2842408265,134.895535203205
CAN,Canada,2024,,,,,,1.36935976604092,44401.7153908386,138.10818546079
FRA,France,2000,,,,,,1.08270508132602,33255.1379642335,84.3891323092083
FRA,France,2001,,,,,,1.11653308564462,33640.6738002565,85.768709637685
FRA,France,2002,,,,,,1.05755899623965,33753.5782979758,87.4183955374896
FRA,France,2003,,,,,,0.88404792718493,33840.6175720101,89.2528462580725
FRA,France,2004,,,,,,0.803921647747618,34557.1471111581,91.1647222368861
FRA,France,2005,,,,,,0.803800192161442,34946.0372494703,92.7563391930176
FRA,France,2006,,,,,,0.796432730949102,35645.4162427116,94.3101233525136
FRA,France,2007,,,,,,0.729672399984083,36322.1685141004,95.7134561579475
FRA,France,2008,,,,,,0.679922680042729,36257.3658930938,98.4057435464287
FRA,France,2009,,,,,,0.716957702016136,35052.8510772683,98.4919671294585
FRA,France,2010,,,,,,0.754308990105961,35578.1968010183,100.0
FRA,France,2011,,,,,,0.718413898653317,36269.9561530888,102.11159795175
FRA,France,2012,,,,,,0.778338120416812,36161.2918253465,104.107058016154
FRA,France,2013,,,,,,0.752945122701996,36256.086680981,105.006246810607
FRA,France,2014,,,,,,0.752728196932603,36444.3949089146,105.539425293424
FRA,France,2015,,,,,,0.901296423367096,36702.4323733379,105.579017755019
FRA,France,2016,,,,,,0.903421436257263,36920.5342846914,105.772580900596
FRA,France,2017,,,,,,0.885205508269372,37580.5979329356,106.864453008147
FRA,France,2018,,,,,,0.846772667108111,38062.4435961412,108.842316422953
FRA,France,2019,,,,,,0.893276257067409,38705.2072940618,110.04856675289
FRA,France,2020,,,,,,0.875506396987998,35709.2045925926,110.572946910908
FRA,France,2021,,,,,,0.84549413889045,38030.8571685178,112.388921149413
FRA,France,2022,,,,,,0.949623753156941,38881.2230613595,118.258283622798
FRA,France,2023,,,,,,0.924839558470698,39117.4845032233,124.027345193475
FRA,France,2024,,,,,,0.923889546117607,39441.2610467049,126.506713121822
KAZ,Kazakhstan,2000,,,,,,142.133333333333,4269.33016782791,43.7893049656121
KAZ,Kazakhstan,2001,,,,,,146.735833333333,4822.52862802669,47.4475238316713
KAZ,Kazakhstan,2002,,,,,,153.279166666667,5267.6990320263,50.2169999848362
KAZ,Kazakhstan,2003,,,,,,149.575833333333,5724.43199248054,53.4500799677342
KAZ,Kazakhstan,2004,,,,,,136.035,6233.29439373307,57.1285435425155
KAZ,Kazakhstan,2005,,,,,,132.88,6787.4115548789,61.458886738144
KAZ,Kazakhstan,2006,,,,,,126.089430555555,7450.39687062615,66.8191426897728
KAZ,Kazakhstan,2007,,,,,,122.554166666667,8036.87599811505,74.0669056526255
KAZ,Kazakhstan,2008,,,,,,120.299166666667,8216.52181589585,86.7618990495639
KAZ,Kazakhstan,2009,,,,,,147.496666666667,8218.39912556048,93.109467764034
KAZ,Kazakhstan,2010,,,,,,147.355,8704.70655484556,100.0
